productName,group,category,barcode,wac,sellingPrice,baselineDate,baselineQty,currentStock,bundleAvailable,bundleSize,bundlePrice
Embassy,Sigara & RIZLA,Sigara & RIZLA,,,400,,,,,,
Master(K),Sigara & RIZLA,Sigara & RIZLA,,,150,,,,,,
Master(R),Sigara & RIZLA,Sigara & RIZLA,,,150,,,,,,
Nyota/Kali,Sigara & RIZLA,Sigara & RIZLA,,,150,,,,,,
Portsman,Sigara & RIZLA,Sigara & RIZLA,,,300,,,,,,
RIZLA,Sigara & RIZLA,Sigara & RIZLA,,,800,,,,,,
S-Menthol(SM),Sigara & RIZLA,Sigara & RIZLA,,,300,,,,,,
Winston(K),Sigara & RIZLA,Sigara & RIZLA,,,200,,,,,,
Winston(R),Sigara & RIZLA,Sigara & RIZLA,,,200,,,,,,
BabyCare-200g,Mafuta(Mgando),Usafi:Binafsi,,,"1,700",,,,,,
Banister-Alovera-100ML,Mafuta : Gliserini,Usafi:Binafsi,,,"1,000",,,,,,
Banister-Pure-100ML,Mafuta : Gliserini,Usafi:Binafsi,,,"1,000",,,,,,
Blow Out- Relaxer-125ML,Dawa/Nywele,Usafi:Binafsi,,,"3,500",,,,,,
Body Sprays-200ML,Manukato : BODYSPRAY,Usafi:Binafsi,,,"5,000",,,,,,
Bodyluxe Cream-70G,Mafuta : Losheni,Usafi:Binafsi,,,"1,000",,,,,,
BodyLuxe Hair Oil - 100ml,Mafuta : Nywele,Usafi:Binafsi,,,"1,500",,,,,,
Brashi/Mkono,Brashi/Mkono,Usafi:Binafsi,,,"1,500",,,,,,
Colgate (H) :70g,Dawa/Meno,Usafi:Binafsi,,,"3,500",,,,,,
Covex(BS),Sabuni/Mche,Usafi:Binafsi,,,"1,500",,,,,,
Dalan(BS),Sabuni/Mche,Usafi:Binafsi,,,"1,500",,,,,,
Dodoki : Mkono,Dodoki : Mkono,Usafi:Binafsi,,,"1,000",,,,,,
EasyWave:150g,Dawa/Nywele,Usafi:Binafsi,,,"3,500",,,,,,
Family(BS),Sabuni/Mche,Usafi:Binafsi,,,700,,,,,,
Habib Oud-50g,Mafuta(Mgando),Usafi:Binafsi,,,600,,,,,,
Haswa-150ML,Mafuta : Nazi,Usafi:Binafsi,,,"2,000",,,,,,
Haswa-70ML,Mafuta : Nazi,Usafi:Binafsi,,,"1,000",,,,,,
Kangaroo-Black,Rangi/Viatu,Usafi:Binafsi,,,"1,000",,,,,,
Kata-Kucha,Kata/Kucha,Usafi:Binafsi,,,"1,000",,,,,,
Kipepeo: Pedi,Taulo/Kike,Usafi:Binafsi,,,"1,800",,,,,,
Kiwembe@100,Viwembe,Usafi:Binafsi,,,100,,,,,,
Kiwembe@200,Viwembe,Usafi:Binafsi,,,200,,,,,,
Kiwembe@500,Viwembe,Usafi:Binafsi,,,500,,,,,,
Kofia/Mvua,Kofia : Nywele,Usafi:Binafsi,,,"1,000",,,,,,
Kofia/Wigi,Kofia : Nywele,Usafi:Binafsi,,,"1,000",,,,,,
Movit-150g,Dawa/Nywele,Usafi:Binafsi,,,"3,000",,,,,,
Mswaki : Wakubwa,Mswaki/Wakubwa,Usafi:Binafsi,,,500,,,,,,
Nanakia : Pedi,Taulo/Kike,Usafi:Binafsi,,,"2,000",,,,,,
Pamba/Masikio,Pamba :STIKI-MASIKIO,Usafi:Binafsi,,,"1,000",,,,,,
Perfume/Splash : VERLORNA - 100mL,Manukato,Usafi:Binafsi,,,"7,000",,,,,,
Perfumes -100mL,Manukato,Usafi:Binafsi,,,"7,000",,,,,,
Perfumes-50mL,Manukato,Usafi:Binafsi,,,"3,000",,,,,,
Rangi : Kucha,Rangi : Kucha,Usafi:Binafsi,,,500,,,,,,
Robin-Thread,Uzi : Nywele,Usafi:Binafsi,,,"1,500",,,,,,
Rungu(BS),Sabuni/Mche,Usafi:Binafsi,,,600,,,,,,
Siri Carrot-200ML,Mafuta : Losheni,Usafi:Binafsi,,,"2,000",,,,,,
Siri Lemon-200ML,Mafuta : Losheni,Usafi:Binafsi,,,"2,000",,,,,,
Softcare : Pedi,Taulo/Kike,Usafi:Binafsi,,,"2,000",,,,,,
Superblack-MDLSPA,Rangi : Nywele,Usafi:Binafsi,,,"1,000",,,,,,
Toothpick,Vijiti/Meno,Usafi:Binafsi,,,500,,,,,,
TopLine-100g,Mafuta(Mgando),Usafi:Binafsi,,,"1,000",,,,,,
Tressa :Shampoo - 10ML,Shampoo/Nywele,Usafi:Binafsi,,,200,,,,,,
Tuwan-25ML,Manukato,Usafi:Binafsi,,,"2,000",,,,,,
UDI ,UDI,Usafi:Binafsi,,,50,,,,,,
Vestilne-HairFood-100g,Mafuta : Nywele,Usafi:Binafsi,,,"1,500",,,,,,
Vestline -Aftershave-100ml,Afteshave,Usafi:Binafsi,,,"1,500",,,,,,
Vestline-HairTonic-100ml,Mafuta : Nywele,Usafi:Binafsi,,,"1,500",,,,,,
Vestline-Herbal-100g,Mafuta(Mgando),Usafi:Binafsi,,,"1,000",,,,,,
Vestline-Poda(A)-100g,Poda : Wakubwa,Usafi:Binafsi,,,"1,000",,,,,,
Whitedent (F)-125g,Dawa/Meno,Usafi:Binafsi,,,"3,000",,,,,,
Whitedent (F)-20g,Dawa/Meno,Usafi:Binafsi,,,700,,,,,,
Whitedent (F)-40g,Dawa/Meno,Usafi:Binafsi,,,"1,000",,,,,,
Whitedent (F)-70g,Dawa/Meno,Usafi:Binafsi,,,"2,000",,,,,,
Whitedent (H)-110g,Dawa/Meno,Usafi:Binafsi,,,"3,000",,,,,,
Asasi-500ml,Maziwa-Fresh,Maziwa,,,"2,000",,,,,,
Doffi-160g,Sabuni : UNGA,Usafi:Jumla,,,500,,,,,,
Doffi-500g,Sabuni : UNGA,Usafi:Jumla,,,"1,100",,,,,,
DRS(BS),Sabuni/Mche,Usafi:Jumla,,,600,,,,,,
Jamaa(BS),Sabuni/Mche,Usafi:Jumla,,,700,,,,,,
Kleesoft-180g,Sabuni : UNGA,Usafi:Jumla,,,500,,,,,,
Malaika(BS),Sabuni/Mche,Usafi:Jumla,,,700,,,,,,
Niceone-180g,Sabuni : UNGA,Usafi:Jumla,,,500,,,,,,
Niceone-400g,Sabuni : UNGA,Usafi:Jumla,,,"1,000",,,,,,
OMO-40g,Sabuni : UNGA,Usafi:Jumla,,,350,,,,,,
Rexa(TP),Toilet-Paper,Usafi:Jumla,,,"1,000",,,,,,
