Date,Time,Item,Group,Category,Barcode Number,QTY Sold,Unit Price,Total Price,WAC per PC,Total WAC,Daily Gross Profit,Loyalty Card,Customer Name,Customer Debt Status,Payment Type,UserID,TransactionID
12/7/2026,13:15:58,Niceone-180g,Sabuni : UNGA,Usafi:Jumla,6.20302E+12,1,500,500,425,425,75,KM-0000,Guest,Not In-Debt,Full Paid,USR-002,
12/7/2026,13:15:58,Niceone-400g,Sabuni : UNGA,Usafi:Jumla,6.20302E+12,2,"1,000","2,000",867,"1,733",267,KM-0000,Guest,Not In-Debt,Full Paid,USR-002,
12/7/2026,13:40:35,MO:Passion-300ml,Soda,Vinywaji,,1,600,600,400,400,200,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Afiya:Oranges-300ml,Juisi,Vinywaji,,2,600,"1,200",433,867,333,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Serengeti:(Lg),Bia,Vinywaji,4.98654E+12,1,"2,200","2,200","1,775","1,775",425,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Safari:(Lg),Bia,Vinywaji,6.2011E+12,1,"2,200","2,200","1,775","1,775",425,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Murua:Nice,Biskuti,Vitamu,7.92383E+11,1,300,300,160,160,140,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Pepsi : 600ml,Soda,Vinywaji,6.2011E+12,2,"1,200","2,400",800,"1,600",800,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Afiya:Lemon-300ml,Juisi,Vinywaji,,1,600,600,438,438,163,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Azam-Cola-300ml,Soda,Vinywaji,6.20301E+12,4,600,"2,400",423,"1,692",708,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Uhai(W)-1.6L,Maji,Vinywaji,6.20301E+12,2,800,"1,600",500,"1,000",600,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Sembe-25kg,Unga/Sembe,Nafaka,,1.5,"1,500","2,250","1,280","1,920",330,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Sukari(Kupima) - 50kg,Sukari,Viungo,,0.5,"3,000","1,500","2,360","1,180",320,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Jambo:Bolibo-300ml,Juisi,Vinywaji,6.203E+12,1,600,600,417,417,183,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Mayai@Kizungu,Mayai: Kizungu,Viungo,,9,350,"3,150",267,"2,400",750,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Pipi:Bigijii@50,Pipi/Bigijii,Vitamu,,19,50,950,33,633,317,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Pipi:Bigijii@100,Pipi/Bigijii,Vitamu,,7,100,700,90,630,70,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,MO:(E)-300ML,E-Drink,Vinywaji,6.20302E+12,3,600,"1,800",519,"1,558",242,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Ngano-25kg,Unga/Ngano,Nafaka,,0.75,"2,000","1,500","1,500","1,125",375,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Mshumaa,MSHUMAA,Jikoni,6.203E+12,1,500,500,333,333,167,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Niceone-180g,Sabuni : UNGA,Usafi:Jumla,6.20302E+12,1,500,500,425,425,75,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Azam-Malt-300ml,Soda,Vinywaji,6.00964E+12,1,700,700,479,479,221,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Haswa -Nazi-150ML,Mafuta : Nazi,Usafi:Binafsi,6.2011E+12,1,"2,000","2,000","1,250","1,250",750,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,"Tamu : Bakery Maandazi-24pcs@2,000",Maandazi,Nafaka,,10,100,"1,000",83,833,167,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Azam:(E)-300ML,E-Drink,Vinywaji,6.00964E+12,3,700,"2,100",475,"1,425",675,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Mimi-6g,Snaki,Snaki,,14,100,"1,400",83,"1,167",233,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Uhai(W)-1L,Maji,Vinywaji,6.20301E+12,2,600,"1,200",417,833,367,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Tamu : Bakery Mkate-1pcs@800,Mkate,Nafaka,,2,"1,000","2,000",800,"1,600",400,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Jambo:Cocopine-300ml,Juisi,Vinywaji,6.203E+12,1,600,600,417,417,183,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,BlueBand-100g,Siagi,Viungo,,2,"1,500","3,000","1,333","2,667",333,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Tressa :Shampoo - 10ML,Shampoo/Nywele,Usafi:Binafsi,6.20305E+12,2,200,400,125,250,150,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Paracetamol - 500mg,Dawa : Maumivu,Afya,,6,50,300,30,180,120,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:40:35,Tambi-25kg (Kupima),Spaghetti,Nafaka,,0.25,"2,800",700,"2,080",520,180,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:48:43,Serengeti:(Lg),Bia,Vinywaji,4.98654E+12,2,"2,200","4,400","1,775","3,550",850,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,13:58:47,Azam-Cola-300ml,Soda,Vinywaji,6.20301E+12,3,600,"1,800",423,"1,269",531,KM-0000,Guest,Not In-Debt,Full Paid,USR-002,
12/7/2026,13:58:47,Pepsi : 600ml,Soda,Vinywaji,6.2011E+12,1,"1,200","1,200",800,800,400,KM-0000,Guest,Not In-Debt,Full Paid,USR-002,
12/7/2026,14:17:30,Fanta-Orange : 350ml,Soda,Vinywaji,,1,800,800,563,563,238,KM-0000,Guest,Not In-Debt,Full Paid,USR-002,
12/7/2026,14:20:05,U-Fresh:Bottled-Mango-200ml,Juisi,Vinywaji,6.203E+12,5,400,"2,000",250,"1,250",750,KM-0000,Guest,Not In-Debt,Full Paid,USR-002,
12/7/2026,14:27:15,K-vant(L)- 750ml,Spirit,Vinywaji,6.204E+12,1,"13,000","13,000","8,500","8,500","4,500",KM-0000,Guest,Not In-Debt,Full Paid,USR-002,
12/7/2026,14:28:46,U-Fresh:Tube-Mango-80ml,Juisi,Vinywaji,6.203E+12,2,100,200,83,167,33,KM-0000,Guest,Not In-Debt,Full Paid,USR-002,
12/7/2026,14:30:33,Vestline-Herbal-100g,Mafuta(Mgando),Usafi:Binafsi,6.2011E+12,1,"1,000","1,000",833,833,167,KM-0000,Guest,Not In-Debt,Full Paid,USR-002,
12/7/2026,14:43:34,Taifa(L),Gesi:Mtungi,Gesi:Mtungi,,1,"61,000","61,000","55,000","55,000","6,000",KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,14:44:58,Double(KK)-200ml,Spirit,Vinywaji,6.20301E+12,0.5,"2,200","1,100","1,867",933,167,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,14:59:06,Softcare(P)-(9-15),Pampasi/Diaper,Usafi:Mtoto,,3,500,"1,500",263,788,713,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,15:03:45,K-vant(L)- 750ml,Spirit,Vinywaji,6.204E+12,1,"13,000","13,000","8,500","8,500","4,500",KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
12/7/2026,15:30:59,MO:Malt-300ml,Soda,Vinywaji,6.20302E+12,1,600,600,400,400,200,KM-0000,Guest,Not In-Debt,Full Paid,USR-001,
