Date,Time,User,Category,Group,Item,Qty Purchased,Total Amount,Unit Price,Supplier Name
7/12/2026 13:26:13,7/12/2026 13:26:13,USR-001,Vinywaji,Bia,Serengeti:(Lg),20,"35,500","1,775",Mama-Anita
7/12/2026 13:26:17,7/12/2026 13:26:17,USR-001,Vinywaji,Soda,Pepsi : 350ml,6,"3,000",500,Mama-Anita
7/12/2026 13:26:20,7/12/2026 13:26:20,USR-001,Vinywaji,Soda,Mirinda-Black : 350ml,6,"3,000",500,Mama-Anita
7/12/2026 13:26:24,7/12/2026 13:26:24,USR-001,Vinywaji,Soda,Stone Tangawizi : 350ml,2,"1,125",563,Mama-Anita
7/12/2026 13:26:27,7/12/2026 13:26:27,USR-001,Vinywaji,Soda,Fanta-Passion : 350ml,4,"2,250",563,Mama-Anita
7/12/2026 13:26:30,7/12/2026 13:26:30,USR-001,Vinywaji,Soda,Sparletta : 350ml,6,"3,375",563,Mama-Anita
7/12/2026 13:26:33,7/12/2026 13:26:33,USR-001,Vinywaji,Soda,Fanta-Orange : 350ml,12,"6,750",563,Mama-Anita
7/12/2026 13:33:26,7/12/2026 13:33:26,USR-001,Nafaka,Maharage,Maharage/Njano@2500,10,"25,000","2,500",Rama
7/12/2026 13:35:09,7/12/2026 13:35:09,USR-001,Nafaka,Mchele,Mchele@1850,25,"46,250","1,850",Rama
7/12/2026 13:36:05,7/12/2026 13:36:05,USR-001,Vinywaji,Spirit,Smart Gin-200ml,15,"28,000","1,867",Unknown
7/12/2026 13:37:29,7/12/2026 13:37:29,USR-001,Vinywaji,Spirit,Double(KK)-200ml,15,"28,000","1,867",Mama-Anita
7/12/2026 13:37:37,7/12/2026 13:37:37,USR-001,Usafi:Binafsi,Shampoo/Nywele,Tressa :Shampoo - 10ML,12,"1,500",125,Mama-Anita
7/12/2026 13:37:40,7/12/2026 13:37:40,USR-001,Sigara & RIZLA,Sigara & RIZLA,Master(R),40,"4,800",120,Mama-Anita
7/12/2026 13:48:17,7/12/2026 13:48:17,USR-001,Vinywaji,Spirit,Jobo-200ml,8,"14,336","1,792",Ngowi
7/12/2026 13:48:20,7/12/2026 13:48:20,USR-001,Vinywaji,Spirit,K-vant(S)-250ml,12,"41,500","3,458",Ngowi
7/12/2026 13:48:24,7/12/2026 13:48:24,USR-001,Vinywaji,Spirit,Konyagi(S)- 200ml,6,"23,700","3,950",Ngowi
7/12/2026 14:12:39,7/12/2026 14:12:39,USR-002,Nafaka,Karanga,Karanga,5,"21,000","4,200",Unknown
7/12/2026 14:12:43,7/12/2026 14:12:43,USR-002,Vinywaji,Juisi,U-Fresh:Bottled-Mango-200ml,24,"6,000",250,Unknown
7/12/2026 14:12:52,7/12/2026 14:12:52,USR-002,Vinywaji,Juisi,U-Fresh:Tube-Mango-80ml,60,"5,000",83,Unknown
7/12/2026 14:16:57,7/12/2026 14:16:57,USR-002,Vinywaji,Juisi,U-Fresh Glass (Mango)-120ml,28,"4,500",161,Unknown
7/12/2026 20:31:32,7/12/2026 20:31:32,USR-002,Viungo,Mayai: Kizungu,Mayai@Kizungu,90,"28,500",317,MSB
7/14/2026 9:43:24,7/14/2026 9:43:24,USR-002,Snaki,Snaki,Mimi-6g,60,"5,000",83,musa ma pipi
7/14/2026 9:43:29,7/14/2026 9:43:29,USR-002,Afya,Dawa : Maumivu,Paracetamol - 500mg,100,"2,500",25,musa ma pipi
7/14/2026 9:43:32,7/14/2026 9:43:32,USR-002,Vitamu,Pipi/Bigijii,Pipi:Bigijii@50,200,"7,000",35,musa ma pipi
7/14/2026 9:43:37,7/14/2026 9:43:37,USR-002,Nafaka,Maandazi,"Tamu : Bakery Maandazi-12pcs@5,000",6,"2,500",417,tamu
