TransactionID,Date,Time,CustomerName,LoyaltyCard,TotalItems,TotalQTY,Subtotal,DiscountAmount,LoyaltyRedeemed,TotalAmount,AmountPaid,Change,PaymentType,DebtAmount,PointsEarned,UserID,Status
TXN-20260629-0001,29/06/2026,14:42:19,Guest,KM-0000,1,1,"1,200",0,0,"1,200","1,200",0,Full Paid,0,0,USR-001,Completed
TXN-20260629-0002,29/06/2026,15:07:34,Guest,KM-0000,1,20,"14,000",0,0,"14,000","14,000",0,Full Paid,0,0,USR-001,Completed
TXN-20260629-0003,29/06/2026,15:10:54,Guest,KM-0000,1,1,700,0,0,700,700,0,Full Paid,0,0,USR-001,Completed
TXN-20260629-0004,29/06/2026,16:57:09,Guest,KM-0000,1,2,"1,400",0,0,"1,400","1,400",0,Full Paid,0,0,USR-001,Completed
TXN-20260629-0005,29/06/2026,17:09:33,Guest,KM-0000,1,1,700,0,0,700,700,0,Full Paid,0,0,USR-001,Completed
TXN-20260629-0006,29/06/2026,17:11:06,Guest,KM-0000,1,2,"1,400",0,0,"1,400","1,400",0,Full Paid,0,0,USR-001,Completed
TXN-20260629-0007,29/06/2026,19:32:56,Guest,KM-0000,1,1,700,0,0,700,700,0,Full Paid,0,0,USR-001,Completed
TXN-20260629-0008,29/06/2026,19:34:47,Guest,KM-0000,1,5,"3,000",0,0,"3,000","3,000",0,Full Paid,0,0,USR-001,Completed
TXN-20260629-0009,29/06/2026,19:38:05,Guest,KM-0000,1,1,"1,200",0,0,"1,200","1,200",0,Full Paid,0,0,USR-001,Completed
TXN-20260629-0010,29/06/2026,19:43:04,Guest,KM-0000,1,2,"1,200",0,0,"1,200","1,200",0,Full Paid,0,0,USR-001,Completed
TXN-20260629-0011,29/06/2026,19:49:05,Guest,KM-0000,1,2,"4,000",0,0,"4,000","4,000",0,Full Paid,0,0,USR-001,Completed
TXN-20260629-0012,29/06/2026,19:51:52,Guest,KM-0000,1,1,"1,700",0,0,"1,700","1,700",0,Full Paid,0,0,USR-001,Completed
TXN-20260629-0013,29/06/2026,21:03:32,Guest,KM-0000,1,1,700,0,0,700,700,0,Full Paid,0,0,USR-001,Completed
TXN-20260629-0014,29/06/2026,21:11:26,Guest,KM-0000,1,1,600,0,0,600,"6,000","5,400",Full Paid,0,0,USR-001,Completed
TXN-20260629-0015,29/06/2026,21:41:37,Guest,KM-0000,1,1,300,0,0,300,300,0,Full Paid,0,0,USR-001,Completed
TXN-20260629-0016,29/06/2026,21:51:26,Guest,KM-0000,1,1,600,0,0,600,600,0,Full Paid,0,0,USR-001,Completed
TXN-20260629-0017,29/06/2026,21:59:48,Guest,KM-0000,1,1,600,0,0,600,600,0,Full Paid,0,0,USR-001,Completed
TXN-20260630-0018,30/06/2026,9:13:20,Guest,KM-0000,2,2,800,0,0,800,800,0,Full Paid,0,0,USR-001,Completed
TXN-20260701-0019,01/07/2026,13:51:27,Guest,KM-0000,1,2,"1,200",0,0,"1,200","1,200",0,Full Paid,0,0,USR-001,Completed
TXN-20260701-0020,01/07/2026,23:34:08,masai,KM-0007,2,2,600,0,0,600,600,0,Full Paid,0,6,USR-001,Completed
TXN-20260701-0021,01/07/2026,23:36:28,muchau,KM-0027,1,2,"1,200",0,0,"1,200","1,200",0,Full Paid,0,12,USR-001,Completed
TXN-20260701-0022,01/07/2026,23:37:24,muchau,KM-0027,1,2,"1,200",0,0,"1,200","1,200",0,Full Paid,0,12,USR-001,Completed
TXN-20260702-0023,02/07/2026,12:45:59,Test_accounts,KM-0051,1,2,"2,400",0,0,"2,400","2,400",0,Full Paid,0,24,USR-001,Completed
TXN-20260702-0024,02/07/2026,13:08:14,Test_accounts,KM-0051,1,2,"2,400",0,0,"2,400","2,400",0,Full Paid,0,24,USR-001,Completed
TXN-20260702-0025,02/07/2026,14:23:54,Test11,KM-0064,1,1,"1,200",0,0,"1,200","1,200",0,Full Paid,0,12,USR-001,Completed
TXN-20260702-0026,02/07/2026,14:24:43,Guest,KM-0000,1,1,"1,200",0,0,"1,200","1,200",0,Full Paid,0,0,USR-001,Completed
TXN-20260702-0027,02/07/2026,14:26:26,Guest,KM-0000,1,5,"6,000",0,0,"6,000","6,000",0,Full Paid,0,0,USR-001,Completed
TXN-20260702-0028,02/07/2026,15:50:14,Guest,KM-0000,1,1,"1,200",0,0,"1,200","1,200",0,Full Paid,0,0,USR-001,Completed
TXN-20260704-0029,04/07/2026,7:37:22,baba mingoi,KM-0011,1,1,"1,200",0,500,700,700,500,Full Paid,0,12,USR-001,Completed
TXN-20260706-0030,06/07/2026,16:52:52,baba mingoi,KM-0011,1,1,"2,000",0,"1,000","1,000","1,000","1,000",Full Paid,0,20,USR-001,Completed
TXN-20260706-0031,06/07/2026,16:56:05,Guest,KM-0000,1,1,"1,000",0,0,"1,000","1,000",0,Full Paid,0,0,USR-001,Completed
TXN-20260710-0032,10/07/2026,17:08:15,Guest,KM-0000,1,1,500,0,0,500,500,0,Full Paid,0,0,USR-001,Completed
TXN-20260711-0033,11/07/2026,8:03:17,baba mingoi,KM-0011,1,1,"1,000",0,20,980,0,0,Debt,960,10,USR-001,Completed
TXN-20260711-0034,11/07/2026,8:11:10,baba mingoi,KM-0011,2,3,"4,000",0,0,"4,000","4,000",0,Full Paid,0,40,USR-001,Completed
TXN-20260711-0035,11/07/2026,8:29:10,baba mingoi,KM-0011,3,3,"3,000",0,0,"3,000","3,000",0,Full Paid,0,30,USR-001,Completed
TXN-20260711-0036,11/07/2026,11:48:31,baba mingoi,KM-0011,1,1,500,0,0,500,500,0,Full Paid,0,5,USR-001,Completed
TXN-20260711-0037,11/07/2026,12:03:24,baba mingoi,KM-0011,3,4,"3,600",0,100,"3,500","3,100",0,Full Paid,300,36,USR-002,Completed
TXN-20260711-0038,11/07/2026,12:06:12,mama noel,KM-0010,1,1,"6,000",0,0,"6,000","6,000",0,Full Paid,0,60,USR-002,Completed
TXN-20260712-0039,12/07/2026,13:15:58,Guest,KM-0000,2,3,"2,500",0,0,"2,500","2,500",0,Full Paid,0,0,USR-002,Completed
TXN-20260712-0040,12/07/2026,13:40:35,Guest,KM-0000,32,106,"43,850",0,0,"43,850","43,850",0,Full Paid,0,0,USR-001,Completed
TXN-20260712-0041,12/07/2026,13:41:15,Guest,KM-0000,32,106,"43,850",0,0,"43,850","43,850",0,Full Paid,0,0,USR-001,Completed
TXN-20260712-0042,12/07/2026,13:48:43,Guest,KM-0000,1,2,"4,400",0,0,"4,400","4,400",0,Full Paid,0,0,USR-001,Completed
TXN-20260712-0043,12/07/2026,13:58:47,Guest,KM-0000,2,4,"3,000",0,0,"3,000","3,000",0,Full Paid,0,0,USR-002,Completed
TXN-20260712-0044,12/07/2026,14:17:30,Guest,KM-0000,1,1,800,0,0,800,800,0,Full Paid,0,0,USR-002,Completed
TXN-20260712-0045,12/07/2026,14:20:05,Guest,KM-0000,1,5,"2,000",0,0,"2,000","2,000",0,Full Paid,0,0,USR-002,Completed
TXN-20260712-0046,12/07/2026,14:27:15,Guest,KM-0000,1,1,"13,000",0,0,"13,000","13,000",0,Full Paid,0,0,USR-002,Completed
TXN-20260712-0047,12/07/2026,14:28:46,Guest,KM-0000,1,2,200,0,0,200,200,0,Full Paid,0,0,USR-002,Completed
TXN-20260712-0048,12/07/2026,14:30:33,Guest,KM-0000,1,1,"1,000",0,0,"1,000","1,000",0,Full Paid,0,0,USR-002,Completed
TXN-20260712-0049,12/07/2026,14:43:34,Guest,KM-0000,1,1,"61,000",0,0,"61,000","61,000",0,Full Paid,0,0,USR-001,Completed
TXN-20260712-0050,12/07/2026,14:44:58,Guest,KM-0000,1,0.5,"1,100",0,0,"1,100","1,100",0,Full Paid,0,0,USR-001,Completed
TXN-20260712-0051,12/07/2026,14:59:06,Guest,KM-0000,1,3,"1,500",0,0,"1,500","1,500",0,Full Paid,0,0,USR-001,Completed
TXN-20260712-0052,12/07/2026,15:03:45,Guest,KM-0000,1,1,"13,000",0,0,"13,000","13,000",0,Full Paid,0,0,USR-001,Completed
TXN-20260712-0053,12/07/2026,15:30:59,Guest,KM-0000,2,3,"1,400",0,0,"1,400","1,400",0,Full Paid,0,0,USR-001,Completed
TXN-20260712-0054,12/07/2026,15:39:06,Guest,KM-0000,4,4.25,"1,475",0,0,"1,475","1,475",0,Full Paid,0,0,USR-001,Completed
TXN-20260712-0055,12/07/2026,16:00:15,Guest,KM-0000,4,3.5,"4,050",0,0,"4,050","4,050",0,Full Paid,0,0,USR-002,Completed
TXN-20260712-0056,12/07/2026,20:58:48,Guest,KM-0000,23,89,"71,050",0,0,"71,050","71,050",0,Full Paid,0,0,USR-002,Completed
TXN-20260712-0057,12/07/2026,21:10:47,Guest,KM-0000,10,23.5,"17,500",0,0,"17,500","17,500",0,Full Paid,0,0,USR-002,Completed
TXN-20260712-0058,12/07/2026,21:30:30,Guest,KM-0000,10,21.25,"10,450",0,0,"10,450","10,450",0,Full Paid,0,0,USR-002,Completed
TXN-20260712-0059,12/07/2026,21:49:21,Guest,KM-0000,4,3.5,"4,200",0,0,"4,200","4,200",0,Full Paid,0,0,USR-002,Completed
TXN-20260712-0060,12/07/2026,22:03:35,Guest,KM-0000,1,2,"1,000",0,0,"1,000","1,000",0,Full Paid,0,0,USR-002,Completed
TXN-20260712-0061,12/07/2026,22:12:39,Guest,KM-0000,3,2.5,"2,500",0,0,"2,500","2,500",0,Full Paid,0,0,USR-002,Completed
TXN-20260712-0062,12/07/2026,22:25:08,Guest,KM-0000,9,15.7,"11,950",0,0,"11,950","11,950",0,Full Paid,0,0,USR-002,Completed
TXN-20260712-0063,12/07/2026,22:53:33,Guest,KM-0000,5,5,"2,400",0,0,"2,400","2,400",0,Full Paid,0,0,USR-002,Completed
TXN-20260712-0064,12/07/2026,23:18:37,Guest,KM-0000,3,11,"4,700",0,0,"4,700","4,700",0,Full Paid,0,0,USR-002,Completed
TXN-20260712-0065,12/07/2026,23:20:44,Guest,KM-0000,2,2,900,0,0,900,900,0,Full Paid,0,0,USR-002,Completed
TXN-20260713-0066,13/07/2026,9:51:00,Guest,KM-0000,9,21.25,"12,950",0,0,"12,950","12,950",0,Full Paid,0,0,USR-002,Completed
TXN-20260713-0067,13/07/2026,11:01:43,Guest,KM-0000,8,25.5,"13,550",0,0,"13,550","13,550",0,Full Paid,0,0,USR-001,Completed
TXN-20260713-0068,13/07/2026,11:02:11,Guest,KM-0000,8,25.5,"13,550",0,0,"13,550","13,550",0,Full Paid,0,0,USR-001,Completed
TXN-20260714-0069,14/07/2026,9:31:55,Guest,KM-0000,35,120.2,"110,125",0,0,"110,125","110,125",0,Full Paid,0,0,USR-002,Completed
TXN-20260714-0070,14/07/2026,9:37:10,Guest,KM-0000,3,5,"11,000",0,0,"11,000","110,125","99,125",Full Paid,0,0,USR-002,Completed
TXN-20260714-0071,14/07/2026,9:56:44,Guest,KM-0000,9,48.25,"14,450",0,0,"14,450","14,450",0,Full Paid,0,0,USR-002,Completed
TXN-20260714-0072,14/07/2026,10:19:50,Guest,KM-0000,5,9.5,"5,800",0,0,"5,800","5,800",0,Full Paid,0,0,USR-002,Completed
TXN-20260714-0073,14/07/2026,18:45:53,Guest,KM-0000,15,28.25,"21,150",0,0,"21,150","21,150",0,Full Paid,0,0,USR-002,Completed
TXN-20260714-0074,14/07/2026,18:57:13,Guest,KM-0000,2,4.5,"3,600",0,0,"3,600","3,600",0,Full Paid,0,0,USR-002,Completed
TXN-20260714-0075,14/07/2026,19:05:56,Guest,KM-0000,3,5,"1,300",0,0,"1,300","1,300",0,Full Paid,0,0,USR-002,Completed
TXN-20260714-0076,14/07/2026,19:27:55,Guest,KM-0000,5,10.5,"12,550",0,0,"12,550","12,550",0,Full Paid,0,0,USR-002,Completed
TXN-20260714-0077,14/07/2026,19:46:30,Guest,KM-0000,6,8,"29,450",0,0,"29,450","29,450",0,Full Paid,0,0,USR-002,Completed
TXN-20260714-0078,14/07/2026,20:38:08,Guest,KM-0000,9,22.75,"10,100",0,0,"10,100","10,100",0,Full Paid,0,0,USR-002,Completed
TXN-20260714-0079,14/07/2026,20:45:28,Guest,KM-0000,1,2,400,0,0,400,400,0,Full Paid,0,0,USR-002,Completed
TXN-20260714-0080,14/07/2026,21:31:52,Guest,KM-0000,4,5.25,"7,200",0,0,"7,200","7,200",0,Full Paid,0,0,USR-002,Completed
TXN-20260714-0081,14/07/2026,23:18:09,Guest,KM-0000,12,37,"16,800",0,0,"16,800","16,800",0,Full Paid,0,0,USR-002,Completed
TXN-20260715-0082,15/07/2026,15:21:03,Guest,KM-0000,18,55,"28,400",0,0,"28,400","28,400",0,Full Paid,0,0,USR-002,Completed
TXN-20260715-0083,15/07/2026,15:24:51,Guest,KM-0000,1,2,600,0,0,600,600,0,Full Paid,0,0,USR-002,Completed
TXN-20260715-0084,15/07/2026,21:19:35,Guest,KM-0000,40,126,"107,050",0,0,"107,050","107,050",0,Full Paid,0,0,USR-002,Completed
TXN-20260715-0085,15/07/2026,21:28:38,Guest,KM-0000,4,4,"1,250",0,0,"1,250","1,250",0,Full Paid,0,0,USR-002,Completed
TXN-20260715-0086,15/07/2026,22:49:43,Guest,KM-0000,7,7.75,"9,950",0,0,"9,950","9,950",0,Full Paid,0,0,USR-002,Completed
TXN-20260716-0087,16/07/2026,15:25:50,Guest,KM-0000,20,40.75,"47,125",0,0,"47,125","47,125",0,Full Paid,0,0,USR-002,Completed
TXN-20260716-0088,16/07/2026,18:51:00,Guest,KM-0000,14,53.75,"21,600",0,0,"21,600","21,600",0,Full Paid,0,0,USR-002,Completed
TXN-20260716-0089,16/07/2026,20:18:07,Guest,KM-0000,13,49.5,"31,550",0,0,"31,550","31,550",0,Full Paid,0,0,USR-002,Completed
TXN-20260716-0090,16/07/2026,20:38:49,Guest,KM-0000,4,6,"3,100",0,0,"3,100","3,100",0,Full Paid,0,0,USR-002,Completed
TXN-20260716-0091,16/07/2026,22:13:23,Guest,KM-0000,15,33.5,"21,150",0,0,"21,150","21,150",0,Full Paid,0,0,USR-002,Completed
TXN-20260716-0092,16/07/2026,22:46:25,Guest,KM-0000,2,2,"1,300",0,0,"1,300","1,300",0,Full Paid,0,0,USR-002,Completed
TXN-20260717-0093,17/07/2026,15:02:08,Guest,KM-0000,22,92.75,"23,675",0,0,"23,675","23,675",0,Full Paid,0,0,USR-002,Completed
TXN-20260717-0094,17/07/2026,15:19:26,Guest,KM-0000,2,9,500,0,0,500,500,0,Full Paid,0,0,USR-002,Completed
TXN-20260717-0095,17/07/2026,19:24:40,Guest,KM-0000,18,62,"36,600",0,0,"36,600","36,600",0,Full Paid,0,0,USR-002,Completed
TXN-20260717-0096,17/07/2026,19:36:27,Guest,KM-0000,3,10,"6,350",0,0,"6,350","6,350",0,Full Paid,0,0,USR-002,Completed
TXN-20260717-0097,17/07/2026,20:21:14,Guest,KM-0000,10,34.75,"13,100",0,0,"13,100","13,100",0,Full Paid,0,0,USR-002,Completed
TXN-20260717-0098,17/07/2026,20:26:45,Guest,KM-0000,7,25.7,"14,450",0,0,"14,450","14,450",0,Full Paid,0,0,USR-002,Completed
TXN-20260717-0099,17/07/2026,20:36:22,Guest,KM-0000,1,1,"2,000",0,0,"2,000","2,000",0,Full Paid,0,0,USR-002,Completed
TXN-20260717-0100,17/07/2026,20:54:41,Guest,KM-0000,6,15.5,"12,500",0,0,"12,500","12,500",0,Full Paid,0,0,USR-002,Completed
TXN-20260717-0101,17/07/2026,21:11:34,Guest,KM-0000,3,31,"5,900",0,0,"5,900","5,900",0,Full Paid,0,0,USR-002,Completed
TXN-20260717-0102,17/07/2026,21:14:43,Guest,KM-0000,2,2,"1,100",0,0,"1,100","1,100",0,Full Paid,0,0,USR-002,Completed
TXN-20260717-0103,17/07/2026,21:20:00,Guest,KM-0000,1,2,800,0,0,800,800,0,Full Paid,0,0,USR-002,Completed
TXN-20260717-0104,17/07/2026,21:24:47,Guest,KM-0000,2,2.5,"1,500",0,0,"1,500","1,500",0,Full Paid,0,0,USR-002,Completed
TXN-20260717-0105,17/07/2026,21:35:37,Guest,KM-0000,2,3,"2,200",0,0,"2,200","2,200",0,Full Paid,0,0,USR-002,Completed
TXN-20260717-0106,17/07/2026,21:44:58,Guest,KM-0000,3,5,"1,500",0,0,"1,500","1,500",0,Full Paid,0,0,USR-002,Completed
TXN-20260717-0107,17/07/2026,22:45:36,Guest,KM-0000,4,8,"3,300",0,0,"3,300","3,300",0,Full Paid,0,0,USR-002,Completed
TXN-20260718-0108,18/07/2026,9:41:51,Guest,KM-0000,7,32.25,"11,250",0,0,"11,250","11,250",0,Full Paid,0,0,USR-002,Completed
TXN-20260718-0109,18/07/2026,11:39:55,Guest,KM-0000,3,4.5,"2,800",0,0,"2,800","2,800",0,Full Paid,0,0,USR-002,Completed
TXN-20260718-0110,18/07/2026,14:48:12,Guest,KM-0000,12,28.5,"45,800",0,0,"45,800","45,800",0,Full Paid,0,0,USR-002,Completed
TXN-20260718-0111,18/07/2026,19:11:14,Guest,KM-0000,22,58.75,"27,950",0,0,"27,950","27,950",0,Full Paid,0,0,USR-002,Completed
TXN-20260718-0112,18/07/2026,19:13:56,Guest,KM-0000,2,2,"6,500",0,0,"6,500","6,500",0,Full Paid,0,0,USR-002,Completed
TXN-20260718-0113,18/07/2026,19:15:41,Guest,KM-0000,3,7,"4,200",0,0,"4,200","4,200",0,Full Paid,0,0,USR-002,Completed
TXN-20260718-0114,18/07/2026,20:41:12,Guest,KM-0000,8,33.5,"31,300",0,0,"31,300","31,300",0,Full Paid,0,0,USR-002,Completed
TXN-20260718-0115,18/07/2026,21:02:48,Guest,KM-0000,3,6,"1,400",0,0,"1,400","1,400",0,Full Paid,0,0,USR-002,Completed
TXN-20260718-0116,18/07/2026,21:15:14,Guest,KM-0000,3,4.5,"2,100",0,0,"2,100","2,100",0,Full Paid,0,0,USR-002,Completed
TXN-20260718-0117,18/07/2026,21:48:46,Guest,KM-0000,4,8,"3,550",0,0,"3,550","3,550",0,Full Paid,0,0,USR-002,Completed
TXN-20260718-0118,18/07/2026,22:00:56,Guest,KM-0000,2,8,"2,200",0,0,"2,200","2,200",0,Full Paid,0,0,USR-002,Completed
TXN-20260718-0119,18/07/2026,22:13:26,Guest,KM-0000,3,3,"1,900",0,0,"1,900","1,900",0,Full Paid,0,0,USR-002,Completed
TXN-20260718-0120,18/07/2026,22:41:50,Guest,KM-0000,3,5,"3,300",0,0,"3,300","3,300",0,Full Paid,0,0,USR-002,Completed
